epoch,acc,loss,lr,val_acc,val_loss
0,0.8790219192682909,0.2855342303918952,0.001,0.827958672510958,0.39254635853288167
1,0.9250516238069961,0.18998191505717169,0.001,0.519254852849092,5.120677315624634
2,0.9404761904799201,0.15637400931292977,0.001,0.9218847839699437,0.190631843011642
3,0.9477191665065012,0.1375929773395593,0.001,0.9314339386349405,0.20301330255451813
4,0.9530692697578375,0.12556892783885665,0.001,0.9012210394489668,0.24653230217777067
5,0.9527720418015019,0.1261712041261046,0.001,0.8179398872886663,0.9483778533351834
6,0.9603122457918779,0.10931134339034795,0.001,0.8038509705698184,0.5226722903787021
7,0.9645360115136725,0.09780745161991566,0.001,0.6070757670632436,1.8943523146323196
8,0.9730148301107565,0.07734286100231251,0.00020000001,0.9613337507827175,0.11752884181723133
9,0.9734686219961729,0.07315380057861477,0.00020000001,0.9375391358797746,0.18393807783480862
10,0.9768768956567963,0.06603135381435074,0.00020000001,0.955771643663739,0.12012728081287447
11,0.9758476035494104,0.06532162414397272,0.00020000001,0.9517845961177207,0.13284084353658734
12,0.97665801569682,0.06516247778313913,0.00020000001,0.9530369442705072,0.12176572158604652
13,0.9797728552674928,0.060568622466300064,0.00020000001,0.9530369442705072,0.12496661741385146
14,0.9801639446843127,0.05519770486462146,4.0000003e-05,0.9572636192861615,0.11149413013822325
15,0.9814936487134351,0.052588935915349716,4.0000003e-05,0.9582028804007514,0.10814597680658841
16,0.9816187973274142,0.05258216940246042,4.0000003e-05,0.9578897933625548,0.11608885104225485
17,0.981634440898567,0.0539498444527479,4.0000003e-05,0.9624295554164057,0.10524224739757343
18,0.9828491917075763,0.05104071609048033,4.0000003e-05,0.9603944896681278,0.11562232640517948
19,0.981634440898567,0.0531287040386913,4.0000003e-05,0.950375704445836,0.1262570606007478
20,0.9824739689209094,0.04986177604053866,4.0000003e-05,0.9596925972396487,0.10326434846604729
21,0.9826722599649251,0.04866973369440371,4.0000003e-05,0.9597683155917345,0.11022757573168271
22,0.9836621744160595,0.048080341634887336,4.0000003e-05,0.9574201628052599,0.11189972507062763
23,0.9829227060720535,0.05039478692145963,4.0000003e-05,0.9591421415153413,0.107115158266713
24,0.9831462430818299,0.04640233757716986,4.0000003e-05,0.9553850970569818,0.11987901858000742
25,0.9835273136887307,0.047451828558778095,4.0000003e-05,0.9571070757670632,0.11692648082249892
26,0.9831362242681811,0.04802915777732054,8.000001e-06,0.9574201628052599,0.11105187187594862
27,0.9836465401332041,0.04708897080885727,8.000001e-06,0.9556981840951785,0.1176144480486937
28,0.9843251360991176,0.046079334528616386,8.000001e-06,0.9621164683782092,0.1048756369112442
29,0.9835586008422255,0.046998606258711315,8.000001e-06,0.9580463368816531,0.11605463482145892
30,0.9845441461735811,0.04523718452023565,8.000001e-06,0.9586725109580463,0.10787131928081999
31,0.9843969857102655,0.044981939117242034,1.6000001e-06,0.9576537013801757,0.111778422401949
32,0.9856235529691508,0.04346891332109267,1.6000001e-06,0.9578897933625548,0.11024966014447592
33,0.9838088980701837,0.04469477225941913,1.6000001e-06,0.9618033813400125,0.10777670208461823
34,0.9842782053763349,0.044744360651615765,1.6000001e-06,0.9578897933625548,0.11697606304486946
35,0.985076027786722,0.044711267556331966,1.6000001e-06,0.9575767063243582,0.09940463526193524
36,0.983902759530668,0.04467123793866412,1.6000001e-06,0.9588290544771446,0.117132333863646
37,0.9823957975047685,0.04949361685786819,1.6000001e-06,0.9588290544771446,0.11246799230277041
38,0.9847384403468679,0.044282992190564745,1.6000001e-06,0.9599248591108328,0.11046109882515197
39,0.9846784028035273,0.044232783441020836,1.6000001e-06,0.9646211646837821,0.0971129376336051
